name,propDead,leafForm,leafThickness,leafWidth,leafLength,leafSeparation,stemOrder,ignitionTemp,moisture,G.C_rat,C.C_rat
Acacia pentadenia,0,Flat,0.000118,0.009,0.064,0.002,5,260,1,1,0.05
Acacia urophylla,0,Flat,0.000176,0.03,0.08,0.02143,4,260,1,2,0.1
Agonis flexuosa,0,Flat,0.000176,0.008,0.07,0.01,5,260,1,2,0.2
Allocasuarina decussata,0,Round,0.00048,0.00048,0.14,0.00356,5,260,1.5,0.5,0.5
Anarthria scabra,0,Flat,0.00035,0.009,0.15,0.03,1,260,1,0,1
Boronia gracilipes,0,Flat,0.00028,0.003,0.007,0.0002,3,240,1,0.5,0.1
Bossiaea aquifolium,0,Flat,0.000184,0.014,0.011,0.01071,5,260,1,0,1
Chorilaena quercifolia,0,Flat,0.00033375,0.027,0.042,0.05,2,260,2,10,0.02
Corymbia calophylla,0,Flat,0.00032,0.038,0.13,0.015,4,220,1,1.3,0.08
Corymbia calophylla shade,0,Flat,0.00032,0.038,0.13,0.03,3,220,1,7,0.08
Crowea angustifolia,0,Flat,0.00015,0.011,0.038,0.009167,4,240,1,2,0.2
Dampiera hederacea,0,Flat,0.000253,0.017,0.025,0.0167,3,260,1.5,0.5,0.2
Dielsiodoxa lycopodioides,0.2,Flat,0.00035,0.0007,0.003,0.001,5,260,1,1,0.1
Eucalyptus diversicolor,0,Flat,0.000287,0.026,0.105,0.017,5,220,1,3,0.07
Eucalyptus diversicolor shade,0,Flat,0.000287,0.026,0.105,0.034,3,220,1,9,0.1
Eucalyptus guilfoylei,0,Flat,0.0003,0.028,0.115,0.03125,5,220,1,1,0.05
Eucalyptus guilfoylei shade,0,Flat,0.0003,0.028,0.115,0.0625,3,220,1,7,0.1
Eucalyptus jacksonii,0,Flat,0.000158,0.02,0.093,0.022,5,220,1,1,0.05
Eucalyptus jacksonii shade,0,Flat,0.000158,0.02,0.093,0.044,3,220,1,7,0.05
Eucalyptus jacksonii e,0,Flat,0.000158,0.02,0.093,0.022,3,220,1,10,0.02
Eucalyptus marginata,0,Flat,0.0003,0.023,0.105,0.0329,5,220,1,3,0.1
Eucalyptus marginata shade,0,Flat,0.0003,0.023,0.105,0.0658,3,220,1,8,0.1
Gahnia decomposita,0.1,Flat,0.00051,0.01,0.15,0.0069,1,260,1,0,1
Hibbertia cuneiformis,0,Flat,0.000165,0.013,0.035,0.003415,4,240,1,0.5,0.5
Hibbertia furfuracea,0,Flat,0.000223,0.006,0.035,0.007,4,240,1,0.5,0.5
Hovea elliptica,0,Flat,0.000303,0.033,0.083,0.01,5,260,1,2,0.2
Lasiopetalum floribundum,0,Flat,0.00028,0.035,0.043,0.01667,4,260,1,0.2,0.5
Lepidosperma effusum,0.2,Flat,0.000237143,0.012,0.15,0.05,1,260,1.5,0,1
Leucopogon verticillatus,0,Flat,0.000226667,0.017,0.1,0.00636,1,260,1,10,0.1
Log,1,Round,1,1,1,100,1,260,0.2,0,1
Lomandra pauciflora,0.2,Flat,0.00035,0.00075,0.15,0.1167,1,260,1.5,0,1
Macrozamia rieldlei,0,Flat,0.00054,0.01,0.15,0.005,2,260,1,0,1
Minor Species,0,Flat,0.000257395,0.010981579,0.060402632,0.015322421,3,256,1.1,0.7,0.5
Pimelea clavata,0,Flat,0.00016,0.006,0.022,0.0025,4,260,1,2,0.1
Pteridium esculentum,0.5,Flat,0.0002085,0.0022,0.00865,0.00204,4,347,2.44,0.1,0.1
suspNS,1,Round,0.01,0.01,0.15,0.14,1,260,0.005,0,1
Taxandria parviceps,0.2,Flat,0.000185,0.001,0.005,0.00067,4,220,1,0.1,0.05
Thomasia paniculata,0,Flat,0.00021,0.014,0.065,0.022,4,220,1,0.5,0.5
Thomasia sp.,0,Flat,0.000173,0.014,0.065,0.019444,4,260,1,0.5,0.5
Thomasia sp. vasse,0,Flat,0.00012,0.014,0.065,0.00625,4,260,1,0.5,0.5
Trymalium odoratissimum,0.1,Flat,0.000165,0.045,0.08,0.05,4,240,1,0,1
