Point,Species,base,top,he,ht,width,Age,Light,Site,Plant,SiteName,Ch
5,Lepidosperma effusum,0,1,0,1,26.2,1,Sun,1,1,Tingle_L1,0
5,Eucalyptus jacksonii e,16.4,34.6,16.4,29.2,13.5,1,Sun,1,1,Tingle_L1,0
10,Lepidosperma effusum,0,0.8,0,0.8,,1,Sun,1,1,Tingle_L1,0
15,Lepidosperma effusum,0,0.8,0,0.8,,1,Sun,1,1,Tingle_L1,0
15,Eucalyptus jacksonii e,19.8,41.6,19.8,41,27.7,1,Sun,1,1,Tingle_L1,0
20,Lepidosperma effusum,0,1.1,0,1.1,,1,Sun,1,1,Tingle_L1,0
20,Eucalyptus jacksonii e,19.8,41.6,19.8,41,,1,Sun,1,1,Tingle_L1,0
25,Lepidosperma effusum,0,0.8,0,0.8,,1,Sun,1,1,Tingle_L1,0
25,Eucalyptus jacksonii e,19.8,41.6,19.8,41,,1,Sun,1,1,Tingle_L1,0
30,Lepidosperma effusum,0,1.4,0,1.4,5.9,1,Sun,1,1,Tingle_L1,0
30,Eucalyptus jacksonii e,19.8,41.6,19.8,41,,1,Sun,1,1,Tingle_L1,0
35,Lasiopetalum floribundum,0.1,0.7,0.1,0.7,5.5,1,Sun,1,1,Tingle_L1,0
35,Lepidosperma effusum,0,1.4,0,1.4,,1,Sun,1,1,Tingle_L1,0
35,Eucalyptus jacksonii e,19.8,44.2,19.8,41.4,21.5,1,Sun,1,1,Tingle_L1,0
40,Lepidosperma effusum,0,0.9,0,0.9,8.1,1,Sun,1,1,Tingle_L1,0
40,Eucalyptus jacksonii e,19.8,44.2,19.8,41.4,,1,Sun,1,1,Tingle_L1,0
45,Lasiopetalum floribundum,0,0.3,0,0.3,5.5,1,Sun,1,2,Tingle_L1,0
45,Lepidosperma effusum,0,0.7,0,0.7,,1,Sun,1,1,Tingle_L1,0
45,Eucalyptus jacksonii e,21.6,39.6,21.6,37.8,16.6,1,Sun,1,1,Tingle_L1,0
45,Eucalyptus jacksonii e,19.8,44.2,19.8,41.4,,1,Sun,1,1,Tingle_L1,0
50,Lepidosperma effusum,0,0.6,0,0.6,3.2,1,Sun,1,1,Tingle_L1,0
50,Eucalyptus jacksonii e,21.6,39.6,21.6,37.8,16.6,1,Sun,1,1,Tingle_L1,0
5,Lepidosperma effusum,0,0.7,0,0.7,2.9,1,Shade,72,1,Tingle_S1,0
5,Tall dead shrub,,,,,,1,Shade,72,1,Tingle_S1,0
10,Lepidosperma effusum,0,0.8,0,0.8,0.8,1,Shade,72,1,Tingle_S1,0
10,Tall dead shrub,,,,,,1,Shade,72,1,Tingle_S1,0
15,Lepidosperma effusum,0,0.9,0,0.9,5,1,Shade,72,1,Tingle_S1,0
15,Allocasuarina decussata,7.14,21,10.2,16.8,7,1,Shade,72,1,Tingle_S1,0
20,Lepidosperma effusum,0,0.9,0,0.9,2.3,1,Shade,72,1,Tingle_S1,0
20,Eucalyptus jacksonii e,2.6,11.2,2.6,11.2,1,1,Shade,72,1,Tingle_S1,0
20,Eucalyptus jacksonii,11.2,44.8,18.6,41,30.4,1,Shade,72,1,Tingle_S1,0
25,Lepidosperma effusum,0,0.9,0,0.9,11.6,1,Shade,72,1,Tingle_S1,0
25,Eucalyptus jacksonii,11.2,44.8,18.6,41,,1,Shade,72,1,Tingle_S1,0
30,Lepidosperma effusum,0,0.6,0,0.6,,1,Shade,72,1,Tingle_S1,0
30,Eucalyptus jacksonii,11.2,44.8,18.6,41,,1,Shade,72,1,Tingle_S1,0
35,Lepidosperma effusum,0,0.6,0,0.6,,1,Shade,72,1,Tingle_S1,0
35,Eucalyptus jacksonii,12.6,24.2,15.2,20.4,13,1,Shade,72,1,Tingle_S1,0
40,Leucopogon verticillatus,0.2,0.4,0.2,0.4,0.6,1,Shade,72,1,Tingle_S1,0
40,Acacia pentadenia,4.6,9,4.6,8.2,2.2,1,Shade,72,1,Tingle_S1,0
40,Eucalyptus jacksonii,12.6,24.2,15.2,20.4,,1,Shade,72,1,Tingle_S1,0
45,Lepidosperma effusum,0,0.8,0,0.8,5.3,1,Shade,72,1,Tingle_S1,0
45,Eucalyptus jacksonii,11,40.6,16,27,16.2,1,Shade,72,1,Tingle_S1,0
50,Lepidosperma effusum,0,0.6,0,0.6,1.5,1,Shade,72,1,Tingle_S1,0
50,Allocasuarina decussata,8.8,13.6,10.6,14.2,8.8,1,Shade,72,1,Tingle_S1,0
50,Eucalyptus jacksonii,11,40.6,16,27,,1,Shade,72,1,Tingle_S1,0
5,Lepidosperma effusum,0,0.7,0,0.7,13.4,4,Shade,76,1,Tingle_S4,0
5,Eucalyptus jacksonii,10.8,21.4,14.4,19.6,4.7,4,Shade,76,1,Tingle_S4,0
5,Eucalyptus diversicolor,21.2,39,23.2,29.4,10.5,4,Shade,76,1,Tingle_S4,0
10,Lepidosperma effusum,0,0.7,0,0.7,,4,Shade,76,1,Tingle_S4,0
10,Lasiopetalum floribundum,0.8,1.4,0.9,0.9,0.9,4,Shade,76,1,Tingle_S4,0
10,Eucalyptus jacksonii e,3.6,9,6.6,8.8,5.5,4,Shade,76,1,Tingle_S4,0
10,Eucalyptus diversicolor,18.2,30.6,18.2,29.6,8,4,Shade,76,1,Tingle_S4,0
15,Lepidosperma effusum,0,0.6,0,0.6,9.8,4,Shade,76,1,Tingle_S4,0
15,Eucalyptus jacksonii shade,7,14.4,11.8,12.2,4.8,4,Shade,76,1,Tingle_S4,0
15,Eucalyptus diversicolor,18.2,30.6,18.2,29.6,,4,Shade,76,1,Tingle_S4,0
20,Eucalyptus jacksonii shade,8.8,11.8,9.2,11,4.8,4,Shade,76,1,Tingle_S4,0
20,Eucalyptus diversicolor,15.6,28.8,17.4,25.2,9.9,4,Shade,76,1,Tingle_S4,0
25,Eucalyptus jacksonii shade,8.2,13.4,9.6,11,6,4,Shade,76,1,Tingle_S4,0
30,Dampiera hederacea,0.1,1.2,0.3,0.6,2,4,Shade,76,1,Tingle_S4,0
30,Corymbia calophylla,7.6,25.8,13.8,21.4,10.6,4,Shade,76,1,Tingle_S4,0
35,Eucalyptus jacksonii shade,12.4,17.8,14.2,17.2,6.1,4,Shade,76,1,Tingle_S4,0
35,Eucalyptus diversicolor,15.6,20.8,18,19.2,6.7,4,Shade,76,1,Tingle_S4,0
35,Corymbia calophylla,7.6,25.8,13.8,21.4,,4,Shade,76,1,Tingle_S4,0
40,Lepidosperma effusum,0,0.7,0,0.7,16.5,4,Shade,76,1,Tingle_S4,0
40,Eucalyptus jacksonii e,2.2,13.3,2.2,13.3,1,4,Shade,76,1,Tingle_S4,0
40,Eucalyptus jacksonii,13.3,22,14,20.2,3.6,4,Shade,76,1,Tingle_S4,0
40,Eucalyptus jacksonii,19.8,25.6,19.8,23,8.8,4,Shade,76,2,Tingle_S4,0
